PACIFIC Exchange Rate Service
Jul.Day YYYY/MM/DD Wdy GBP/USD
2450451 1997/01/02 Thu 0.59296
2450452 1997/01/03 Fri 0.59154
2450455 1997/01/06 Mon 0.59330
2450456 1997/01/07 Tue 0.58994
2450457 1997/01/08 Wed 0.59226
2450458 1997/01/09 Thu 0.59007
2450459 1997/01/10 Fri 0.59464
2450462 1997/01/13 Mon 0.59791
2450463 1997/01/14 Tue 0.59877
2450464 1997/01/15 Wed 0.59585
2450465 1997/01/16 Thu 0.59641
2450466 1997/01/17 Fri 0.59855
2450469 1997/01/20 Mon 0.60229
2450470 1997/01/21 Tue 0.60107
2450471 1997/01/22 Wed 0.60470
2450472 1997/01/23 Thu 0.61369
2450473 1997/01/24 Fri 0.61430
2450476 1997/01/27 Mon 0.61597
2450477 1997/01/28 Tue 0.61876
2450478 1997/01/29 Wed 0.61683
2450479 1997/01/30 Thu 0.62133
2450480 1997/01/31 Fri 0.62409
2450483 1997/02/03 Mon 0.61936
2450484 1997/02/04 Tue 0.61700
2450485 1997/02/05 Wed 0.61061
2450486 1997/02/06 Thu 0.61160
2450487 1997/02/07 Fri 0.61613
2450490 1997/02/10 Mon 0.61025
2450491 1997/02/11 Tue 0.60808
2450492 1997/02/12 Wed 0.61219
2450493 1997/02/13 Thu 0.61565
2450494 1997/02/14 Fri 0.61686
2450497 1997/02/17 Mon 0.61802
2450498 1997/02/18 Tue 0.62380
2450499 1997/02/19 Wed 0.61962
2450500 1997/02/20 Thu 0.62068
2450501 1997/02/21 Fri 0.61901
2450504 1997/02/24 Mon 0.61217
2450505 1997/02/25 Tue 0.61249
2450506 1997/02/26 Wed 0.61218
2450507 1997/02/27 Thu 0.61384
2450508 1997/02/28 Fri 0.61383
2450511 1997/03/03 Mon 0.61817
2450512 1997/03/04 Tue 0.61869
2450513 1997/03/05 Wed 0.62073
2450514 1997/03/06 Thu 0.61985
2450515 1997/03/07 Fri 0.62363
2450518 1997/03/10 Mon 0.62466
2450519 1997/03/11 Tue 0.62265
2450520 1997/03/12 Wed 0.62787
2450521 1997/03/13 Thu 0.62617
2450522 1997/03/14 Fri 0.62403
2450525 1997/03/17 Mon 0.62888
2450526 1997/03/18 Tue 0.62913
2450527 1997/03/19 Wed 0.62574
2450528 1997/03/20 Thu 0.62727
2450529 1997/03/21 Fri 0.62434
2450532 1997/03/24 Mon 0.61843
2450533 1997/03/25 Tue 0.61835
2450534 1997/03/26 Wed 0.61425
2450535 1997/03/27 Thu 0.61295
2450539 1997/03/31 Mon 0.60782
2450540 1997/04/01 Tue 0.60649
2450541 1997/04/02 Wed 0.60882
2450542 1997/04/03 Thu 0.60773
2450543 1997/04/04 Fri 0.61050
2450546 1997/04/07 Mon 0.61432
2450547 1997/04/08 Tue 0.61595
2450548 1997/04/09 Wed 0.61670
2450549 1997/04/10 Thu 0.61596
2450550 1997/04/11 Fri 0.61555
2450553 1997/04/14 Mon 0.61626
2450554 1997/04/15 Tue 0.61476
2450555 1997/04/16 Wed 0.61559
2450556 1997/04/17 Thu 0.61301
2450557 1997/04/18 Fri 0.61274
2450560 1997/04/21 Mon 0.61154
2450561 1997/04/22 Tue 0.61102
2450562 1997/04/23 Wed 0.61648
2450563 1997/04/24 Thu 0.61521
2450564 1997/04/25 Fri 0.61584
2450567 1997/04/28 Mon 0.61595
2450568 1997/04/29 Tue 0.61253
2450569 1997/04/30 Wed 0.61711
2450570 1997/05/01 Thu 0.61570
2450571 1997/05/02 Fri 0.61641
2450574 1997/05/05 Mon 0.61717
2450575 1997/05/06 Tue 0.61070
2450576 1997/05/07 Wed 0.61085
2450577 1997/05/08 Thu 0.61724
2450578 1997/05/09 Fri 0.61681
2450581 1997/05/12 Mon 0.61587
2450582 1997/05/13 Tue 0.61272
2450583 1997/05/14 Wed 0.61272
2450584 1997/05/15 Thu 0.61024
2450585 1997/05/16 Fri 0.61062
2450589 1997/05/20 Tue 0.60811
2450590 1997/05/21 Wed 0.60736
2450591 1997/05/22 Thu 0.61482
2450592 1997/05/23 Fri 0.61236
2450595 1997/05/26 Mon 0.60958
2450596 1997/05/27 Tue 0.61399
2450597 1997/05/28 Wed 0.61053
2450598 1997/05/29 Thu 0.60951
2450599 1997/05/30 Fri 0.61136
2450602 1997/06/02 Mon 0.61189
2450603 1997/06/03 Tue 0.61120
2450604 1997/06/04 Wed 0.61429
2450605 1997/06/05 Thu 0.61223
2450606 1997/06/06 Fri 0.61403
2450609 1997/06/09 Mon 0.61152
2450610 1997/06/10 Tue 0.61031
2450611 1997/06/11 Wed 0.61075
2450612 1997/06/12 Thu 0.61125
2450613 1997/06/13 Fri 0.61125
2450616 1997/06/16 Mon 0.61093
2450617 1997/06/17 Tue 0.61016
2450618 1997/06/18 Wed 0.61038
2450619 1997/06/19 Thu 0.60667
2450620 1997/06/20 Fri 0.60440
2450623 1997/06/23 Mon 0.59926
2450624 1997/06/24 Tue 0.60085
2450625 1997/06/25 Wed 0.60119
2450626 1997/06/26 Thu 0.59999
2450627 1997/06/27 Fri 0.60180
2450630 1997/06/30 Mon 0.60050
2450632 1997/07/02 Wed 0.60013
2450633 1997/07/03 Thu 0.59200
2450634 1997/07/04 Fri 0.59309
2450637 1997/07/07 Mon 0.59277
2450638 1997/07/08 Tue 0.59224
2450639 1997/07/09 Wed 0.59379
2450640 1997/07/10 Thu 0.59216
2450641 1997/07/11 Fri 0.59021
2450644 1997/07/14 Mon 0.59168
2450645 1997/07/15 Tue 0.59643
2450646 1997/07/16 Wed 0.59720
2450647 1997/07/17 Thu 0.59691
2450648 1997/07/18 Fri 0.59584
2450651 1997/07/21 Mon 0.59605
2450652 1997/07/22 Tue 0.59742
2450653 1997/07/23 Wed 0.59612
2450654 1997/07/24 Thu 0.59763
2450655 1997/07/25 Fri 0.60086
2450658 1997/07/28 Mon 0.61407
2450659 1997/07/29 Tue 0.61404
2450660 1997/07/30 Wed 0.61296
2450661 1997/07/31 Thu 0.60944
2450662 1997/08/01 Fri 0.61157
2450666 1997/08/05 Tue 0.61525
2450667 1997/08/06 Wed 0.62450
2450668 1997/08/07 Thu 0.62974
2450669 1997/08/08 Fri 0.63084
2450672 1997/08/11 Mon 0.62892
2450673 1997/08/12 Tue 0.63395
2450674 1997/08/13 Wed 0.63203
2450675 1997/08/14 Thu 0.63021
2450676 1997/08/15 Fri 0.62151
2450679 1997/08/18 Mon 0.62131
2450680 1997/08/19 Tue 0.62348
2450681 1997/08/20 Wed 0.62787
2450682 1997/08/21 Thu 0.62874
2450683 1997/08/22 Fri 0.62068
2450686 1997/08/25 Mon 0.62279
2450687 1997/08/26 Tue 0.62008
2450688 1997/08/27 Wed 0.62093
2450689 1997/08/28 Thu 0.61916
2450690 1997/08/29 Fri 0.61687
2450694 1997/09/02 Tue 0.62881
2450695 1997/09/03 Wed 0.63043
2450696 1997/09/04 Thu 0.63039
2450697 1997/09/05 Fri 0.62794
2450700 1997/09/08 Mon 0.63167
2450701 1997/09/09 Tue 0.62951
2450702 1997/09/10 Wed 0.62933
2450703 1997/09/11 Thu 0.62618
2450704 1997/09/12 Fri 0.62112
2450707 1997/09/15 Mon 0.62327
2450708 1997/09/16 Tue 0.62733
2450709 1997/09/17 Wed 0.62534
2450710 1997/09/18 Thu 0.61981
2450711 1997/09/19 Fri 0.62074
2450714 1997/09/22 Mon 0.62401
2450715 1997/09/23 Tue 0.62015
2450716 1997/09/24 Wed 0.62086
2450717 1997/09/25 Thu 0.61408
2450718 1997/09/26 Fri 0.62116
2450721 1997/09/29 Mon 0.61862
2450722 1997/09/30 Tue 0.62014
2450723 1997/10/01 Wed 0.61933
2450724 1997/10/02 Thu 0.61954
2450725 1997/10/03 Fri 0.61946
2450728 1997/10/06 Mon 0.61961
2450729 1997/10/07 Tue 0.61714
2450730 1997/10/08 Wed 0.61709
2450731 1997/10/09 Thu 0.61532
2450732 1997/10/10 Fri 0.61682
2450736 1997/10/14 Tue 0.61741
2450737 1997/10/15 Wed 0.61579
2450738 1997/10/16 Thu 0.61780
2450739 1997/10/17 Fri 0.61940
